"exp","subject","scenario","round","agent","reward","outcome","effort","strength","prob"
"exp1",10,"L,L;L,L",2,1,20,1,70,9,80
"exp1",10,"L,L;L,L",2,2,20,1,70,9,80
"exp1",10,"L,L;L,L",3,1,20,1,40,9,50
"exp1",10,"L,L;L,L",3,2,20,1,40,9,50
"exp1",10,"F,L;F,L",1,1,10,0,NA,6,NA
"exp1",10,"F,L;F,L",1,2,10,1,30,9,NA
"exp1",10,"F,L;F,L",2,1,20,0,NA,3,50
"exp1",10,"F,L;F,L",2,2,20,1,50,8,90
"exp1",10,"F,L;F,L",3,1,20,1,80,4,100
"exp1",10,"F,L;F,L",3,2,20,1,20,9,100
"exp1",11,"F,F;L,L",1,1,10,0,NA,5,NA
"exp1",11,"F,F;L,L",1,2,10,0,NA,5,NA
"exp1",11,"F,F;L,L",2,1,20,1,60,7,50
"exp1",11,"F,F;L,L",2,2,20,1,60,7,50
"exp1",11,"F,F;L,L",3,1,20,1,30,7,100
"exp1",11,"F,F;L,L",3,2,20,1,30,7,100
"exp1",11,"F,L;F,L",1,1,10,0,NA,4,NA
"exp1",11,"F,L;F,L",1,2,10,1,40,7,NA
"exp1",11,"F,L;F,L",2,1,20,0,NA,2,50
"exp1",11,"F,L;F,L",2,2,20,1,70,9,80
"exp1",11,"F,L;F,L",3,1,20,1,30,2,90
"exp1",11,"F,L;F,L",3,2,20,1,70,9,90
"exp1",11,"F,F;F,F",1,1,10,0,NA,2,NA
"exp1",11,"F,F;F,F",1,2,10,0,NA,2,NA
"exp1",11,"F,F;F,F",2,1,20,0,NA,1,40
"exp1",11,"F,F;F,F",2,2,20,0,NA,1,40
"exp1",11,"F,F;F,F",3,1,20,0,NA,1,50
"exp1",11,"F,F;F,F",3,2,20,0,NA,1,50
"exp1",11,"F,L;L,L",1,1,10,0,NA,2,NA
"exp1",11,"F,L;L,L",1,2,10,1,60,7,NA
"exp1",11,"F,L;L,L",2,1,20,1,90,8,80
"exp1",11,"F,L;L,L",2,2,20,1,80,7,30
"exp1",11,"F,L;L,L",3,1,20,1,50,9,90
"exp1",11,"F,L;L,L",3,2,20,1,50,7,90
"exp1",11,"L,L;L,L",1,1,10,1,90,9,NA
"exp1",11,"L,L;L,L",1,2,10,1,90,9,NA
"exp1",11,"L,L;L,L",2,1,20,1,90,9,70
"exp1",11,"L,L;L,L",2,2,20,1,90,9,70
"exp1",11,"L,L;L,L",3,1,20,1,50,9,100
"exp1",11,"L,L;L,L",3,2,20,1,50,9,100
"exp1",11,"F,F;F,L",1,1,10,0,NA,3,NA
"exp1",11,"F,F;F,L",1,2,10,0,NA,3,NA
"exp1",11,"F,F;F,L",2,1,20,0,NA,1,45
"exp1",11,"F,F;F,L",2,2,20,1,90,6,45
"exp1",11,"F,F;F,L",3,1,20,0,NA,1,70
"exp1",11,"F,F;F,L",3,2,20,0,NA,6,70
"exp1",12,"F,F;F,L",1,1,10,0,NA,4,NA
"exp1",12,"F,F;F,L",1,2,10,0,NA,4,NA
"exp1",12,"F,F;F,L",2,1,20,0,NA,4,60
"exp1",12,"F,F;F,L",2,2,20,1,85,7,60
"exp1",12,"F,F;F,L",3,1,20,0,NA,4,55
"exp1",12,"F,F;F,L",3,2,20,0,NA,7,55
"exp1",12,"F,L;L,L",1,1,10,0,NA,5,NA
"exp1",12,"F,L;L,L",1,2,10,1,75,8,NA
"exp1",12,"F,L;L,L",2,1,20,1,85,6,40
"exp1",12,"F,L;L,L",2,2,20,1,80,7,95
"exp1",12,"F,L;L,L",3,1,20,1,75,7,100
"exp1",12,"F,L;L,L",3,2,20,1,70,8,100
"exp1",12,"F,F;F,F",1,1,10,0,NA,5,NA
"exp1",12,"F,F;F,F",1,2,10,0,NA,5,NA
"exp1",12,"F,F;F,F",2,1,20,0,NA,2,50
"exp1",12,"F,F;F,F",2,2,20,0,NA,2,50
"exp1",12,"F,F;F,F",3,1,20,0,NA,2,25
"exp1",12,"F,F;F,F",3,2,20,0,NA,2,25
"exp1",12,"F,L;F,L",1,1,10,0,NA,4,NA
"exp1",12,"F,L;F,L",1,2,10,1,75,6,NA
"exp1",12,"F,L;F,L",2,1,20,0,NA,3,40
"exp1",12,"F,L;F,L",2,2,20,1,75,7,95
"exp1",12,"F,L;F,L",3,1,20,1,100,3,35
"exp1",12,"F,L;F,L",3,2,20,1,75,9,35
"exp1",12,"L,L;L,L",1,1,10,1,70,7,NA
"exp1",12,"L,L;L,L",1,2,10,1,70,7,NA
"exp1",12,"L,L;L,L",2,1,20,1,70,7,95
"exp1",12,"L,L;L,L",2,2,20,1,70,7,95
"exp1",12,"L,L;L,L",3,1,20,1,65,7,99
"exp1",12,"L,L;L,L",3,2,20,1,65,7,99
"exp1",12,"F,F;L,L",1,1,10,0,NA,3,NA
"exp1",12,"F,F;L,L",1,2,10,0,NA,3,NA
"exp1",12,"F,F;L,L",2,1,20,1,100,5,45
"exp1",12,"F,F;L,L",2,2,20,1,100,5,45
"exp1",12,"F,F;L,L",3,1,20,1,90,5,90
"exp1",12,"F,F;L,L",3,2,20,1,90,5,90
"exp1",13,"F,F;F,F",1,1,10,0,NA,1,NA
"exp1",13,"F,F;F,F",1,2,10,0,NA,1,NA
"exp1",13,"F,F;F,F",2,1,20,0,NA,1,0
"exp1",13,"F,F;F,F",2,2,20,0,NA,1,100
"exp1",13,"F,F;F,F",3,1,20,0,NA,1,0
"exp1",13,"F,F;F,F",3,2,20,0,NA,1,0
"exp1",13,"F,L;L,L",1,1,10,0,NA,1,NA
"exp1",13,"F,L;L,L",1,2,10,1,80,10,NA
